t,action,mean_V,LOW_occ,mismatch,E,PLV,global_v_offset,domain_low_fraction,redox_bit,D_est
0.0,0,-12.25,8.333333333333334e-05,0.1,0.6250000000000002,,0.007125000000000001,0.5,0.0,
1.0,0,-14.827010756958275,0.0009142364929282708,0.11,0.687603910543364,,0.07593585221436129,0.49,0.0,0.9581703178566952
2.0,0,-16.758867840324186,0.0016787952811694777,0.15,0.7382362949890185,,0.1409571135829078,0.43,0.0,0.9531855558213798
3.0,0,-19.078694404547026,0.002298842665973912,0.19,0.7791864262572051,,0.20225448240357746,0.34,0.0,0.9494628756460785
4.0,0,-21.533640177924504,0.0027246595766279046,0.18,0.81230580764209,,0.2597075460264525,0.18,0.0,0.9423518160445916
5.0,0,-23.160789244994277,0.0028300161031084457,0.08,0.8390918859609537,,0.313570285048978,0.04,0.0,0.9253216207445022
6.0,0,-25.052312915767104,0.0028469446256860903,0.0,0.8607557565316707,,0.36420382832648474,0.0,0.0,0.9101714090915558
7.0,0,-26.32858838554335,0.002842203275076221,0.0,0.8782769211649505,,0.412231360214785,0.0,0.0,0.894971561918982
8.0,0,-27.719047954685596,0.0028374698207933135,0.0,0.8924475749779157,,0.4581502334746063,0.0,0.0,0.8764231879041733
9.0,0,-29.49951197219652,0.0028327442496866896,0.0,0.9039084243957379,,0.5011811661892238,0.0,0.0,0.8627884642387372
10.0,0,-29.828231007659713,0.002828026548627569,0.0,0.9131776558025361,,0.5427784244127555,0.0,0.0,0.8621348548724292
11.0,0,-31.597945479925258,0.0028233167045090424,0.0,0.9206743646188275,,0.5819949132763331,0.0,0.0,0.8533178353824574
12.0,0,-33.50886171132544,0.002818614704246023,0.0,0.9267375041187265,,0.6183963396589143,0.0,0.0,0.8481444819119517
13.0,0,-35.14606716248117,0.00281392053477522,0.0,0.9316412107313325,,0.6515379964687755,0.0,0.0,0.840913163625606
14.0,0,-36.218318374720496,0.0028092341830550966,0.0,0.9356071987385222,,0.6827986747961191,0.0,0.0,0.8309165653246081
15.0,0,-36.754283381237904,0.0028045556360658374,0.0,0.9388147847781806,,0.7124423260225196,0.0,0.0,0.8217725648360916
16.0,0,-37.51722759833163,0.002799884880809308,0.0,0.9414089953968602,,0.7411905130752989,0.0,0.0,0.8178185749067597
17.0,0,-38.57043982202412,0.0027952219043090227,0.0,0.9435071242236055,,0.7679585013112102,0.0,0.0,0.8014436216873371
18.0,0,-39.30244411082154,0.002790566693610106,0.0,0.9452040352384321,,0.7931628913327645,0.0,0.0,0.7757429706546486
19.0,0,-40.12331801509461,0.0027859192357792607,0.0,0.9465764519153949,,0.8171630150442923,0.0,0.0,0.7592041546169443
20.0,0,-41.30203627899763,0.0027812795179047254,0.0,0.947686426167873,,0.8393602603470252,0.0,0.0,0.7434416857177799
21.0,0,-41.76710285074128,0.0027766475270962444,0.0,0.9485841439396303,,0.8603665881273589,0.0,0.0,0.7297960151299849
22.0,0,-42.63643213543851,0.002772023250485028,0.0,0.949310194292536,,0.8802732687838185,0.0,0.0,0.723384959128337
23.0,0,-43.1849538538834,0.002767406675223719,0.0,0.9498974045846111,,0.8989916131808904,0.0,0.0,0.7279593956900802
24.0,0,-43.88791075536136,0.0027627977884863574,0.0,0.9503723247134142,,0.9164257949103681,0.0,0.0,0.731382513202755
25.0,0,-44.5656773814974,0.0027581965774683436,0.0,0.9507564275327717,,0.9328177723927791,0.0,0.0,0.723112646816379
26.0,0,-45.42893190001959,0.0027536030293864007,0.0,0.9510670797180362,,0.9480036668286681,0.0,0.0,0.6903855834416175
27.0,0,-46.18532091737674,0.002749017131478544,0.0,0.9513183269761807,,0.9620073013611345,0.0,0.0,0.670550905586216
28.0,0,-46.998854608221166,0.002744438871004041,0.0,0.951521529102931,,0.9742338141039627,0.0,0.0,0.6844364565951376
29.0,0,-48.048864013754084,0.0027398682352433802,0.0,0.9516858736001441,,0.985326437978608,0.0,0.0,0.6916835692196245
30.0,0,-48.84816018812675,0.0027353052114982303,0.0,0.9518187910759406,,0.9947029716974887,0.0,0.0,0.703582322689006
31.0,0,-50.022317001265826,0.002730749787091411,0.0,0.9519262912093296,,1.0022545462081838,0.0,0.0,0.7345121398429667
32.0,0,-50.68554312478718,0.002726201949366852,0.0,0.9520132344694943,,1.0080707302084084,0.0,0.0,0.7720521361382432
33.0,0,-51.44407908820338,0.002721661685689563,0.0,0.9520835518751547,,1.012949537045302,0.0,0.0,0.7687861455494406
34.0,0,-51.31321420993781,0.0027171289834455946,0.0,0.9521404227301181,,1.0171605575270328,0.0,0.0,0.748454179914861
35.0,0,-51.443150763014,0.0027126038300420065,0.0,0.9521864183710808,,1.0212249481766964,0.0,0.0,0.7242492158052711
36.0,0,-52.041323991712595,0.002708086212906828,0.0,0.9522236184270497,,1.0250288405159167,0.0,0.0,0.7103111898464304
37.0,0,-52.76158378645496,0.0027035761194890294,0.0,0.9522537048468733,,1.027228665251137,0.0,0.0,0.6829153227694088
38.0,0,-53.40281335651352,0.0026990735372584827,0.0,0.9522780379462256,,1.028485384581584,0.0,0.0,0.6882779201161402
